dataset,n_features_total,model,selector,selector_family,k_ratio,n_selected_mean,accuracy_mean,accuracy_std,f1_mean,f1_std,train_time_s_mean,total_time_s_mean,energy_j_mean,energy_wh_mean
Wisconsin Breast Cancer,30,Logistic Regression,Baseline (no FS),None,1.0,30.0,0.9754230709517155,0.014017644997030473,0.975232204372628,0.014244255764840657,0.003724033400067128,0.003882724999130005,0.2523771249434503,7.010475692873621e-05
Wisconsin Breast Cancer,30,Logistic Regression,Filter (Mutual Info),Filter,0.25,8.0,0.947290793355069,0.018363766697868024,0.9470120669431671,0.018928253118958804,0.0017663083999650553,0.07721577519987477,5.01902538799186,0.0013941737188866278
Wisconsin Breast Cancer,30,Logistic Regression,Wrapper (RFE),Wrapper,0.25,8.0,0.9596180717279925,0.01524813497857519,0.9595445808259729,0.01519695143365445,0.0015115166010218673,0.016719416600244584,1.086762079015898,0.0003018783552821939
Wisconsin Breast Cancer,30,Logistic Regression,Embedded (L1-SVM),Embedded,0.25,8.0,0.9613569321533924,0.013085313018072996,0.9612053244595776,0.013349502139942862,0.0014692917997308542,0.007413074999931268,0.48184987499553245,0.000133847187498759
Wisconsin Breast Cancer,30,Logistic Regression,Embedded (RF importance),Embedded,0.25,8.0,0.9525694767893185,0.019654560409699755,0.9523686632734719,0.0199183971986805,0.00264935840095859,0.1964019166007347,12.766124579047755,0.0035461457164021543
Wisconsin Breast Cancer,30,Logistic Regression,Baseline (no FS),None,1.0,30.0,0.9754230709517155,0.014017644997030473,0.975232204372628,0.014244255764840657,0.0034881330000644086,0.003702716599946143,0.2406765789964993,6.685460527680536e-05
Wisconsin Breast Cancer,30,Logistic Regression,Filter (Mutual Info),Filter,0.5,15.0,0.9473063188945815,0.018341268117270288,0.9471846459527292,0.018288806493824077,0.0024033500005316453,0.07686200820025987,4.996030533016892,0.0013877862591713589
Wisconsin Breast Cancer,30,Logistic Regression,Wrapper (RFE),Wrapper,0.5,15.0,0.9648812296227295,0.019975922004699873,0.9646781420672068,0.020327557818909617,0.0019935750002332497,0.01606721660064068,1.044369079041644,0.00029010252195601225
Wisconsin Breast Cancer,30,Logistic Regression,Embedded (L1-SVM),Embedded,0.5,15.0,0.9754230709517155,0.012873059858633509,0.9753481453803576,0.012968118554869425,0.0019496585999149829,0.0074929083995812105,0.4870390459727787,0.00013528862388132741
Wisconsin Breast Cancer,30,Logistic Regression,Embedded (RF importance),Embedded,0.5,15.0,0.9561092997981682,0.022154656566553237,0.9561254321608287,0.02205402081147752,0.0026794665987836196,0.18953886680101278,12.32002634206583,0.0034222295394627307
Wisconsin Breast Cancer,30,Logistic Regression,Baseline (no FS),None,1.0,30.0,0.9754230709517155,0.014017644997030473,0.975232204372628,0.014244255764840657,0.0055581583997991405,0.005842541599849938,0.37976520399024594,0.00010549033444173499
Wisconsin Breast Cancer,30,Logistic Regression,Filter (Mutual Info),Filter,0.75,22.0,0.9789318428815401,0.013114128316674255,0.9787662386776287,0.013342801691536161,0.0067449914007738695,0.13708929999920655,8.910804499948426,0.0024752234722078964
